player_name,position,team_abbr,our_rank,vor,ecr_overall_rank,espn_rank,espn_adp,espn_vs_fp_gap
Davante Adams,WR,LAR,48,9.81529087228114,48.83,75.0,46.07,-26.17
Chase Brown,RB,CIN,49,9.24215284170242,19.99,22.0,26.48,-2.0100000000000016
Travis Etienne Jr.,RB,JAX,50,8.822152841702433,48.23,70.0,47.14,-21.770000000000003
Mike Evans,WR,TB,51,5.721540872281139,52.22,115.0,88.13,-62.78
Breece Hall,RB,NYJ,52,5.392152841702426,41.18,23.0,32.48,18.18
Emeka Egbuka,WR,TB,53,5.175447122281128,38.7,35.0,39.55,3.700000000000003
D'Andre Swift,RB,CHI,54,4.822152841702433,62.04,95.0,70.89,-32.96
Jameson Williams,WR,DET,55,4.459822122281139,53.4,80.0,66.36,-26.6
Jeremiyah Love,RB,ARI,56,4.22215284170241,36.96,12.0,17.31,24.96
Bucky Irving,RB,TB,57,2.652152841702417,58.28,73.0,55.84,-14.719999999999999
Dak Prescott,QB,DAL,58,1.9157983124371756,79.81,119.0,90.97,-39.19
Malik Nabers,WR,NYG,59,1.4266304292878829,39.53,74.0,46.13,-34.47
Sam LaPorta,TE,DET,60,0.8509282940074598,87.87,107.0,68.56,-19.129999999999995
Alec Pierce,WR,IND,61,-0.278459127718861,77.25,103.0,93.14,-25.75
Travis Kelce,TE,KC,62,-0.443155386092215,100.93,143.0,100.02,-42.06999999999999
Jadarian Price,RB,SEA,63,-1.2578471582975794,77.77,94.0,74.54,-16.230000000000004
TreVeyon Henderson,RB,NE,64,-2.6508262390835853,60.7,91.0,66.5,-30.299999999999997
Tony Pollard,RB,TEN,65,-3.4378471582975862,82.67,97.0,86.4,-14.329999999999998
DJ Moore,WR,CHI,66,-3.446427877718861,52.98,86.0,69.96,-33.02
Ladd McConkey,WR,LAC,67,-3.755021627718861,35.55,76.0,55.08,-40.45
Jaylen Waddle,WR,MIA,68,-3.824552877718872,38.4,79.0,59.19,-40.6
Courtland Sutton,WR,DEN,69,-3.992521627718872,77.29,100.0,85.32,-22.709999999999994
DK Metcalf,WR,PIT,70,-4.231584127718861,76.13,102.0,85.95,-25.870000000000005
George Kittle,TE,SF,71,-4.614497316857651,105.54,141.0,86.19,-35.459999999999994
Cam Skattebo,RB,NYG,72,-4.859706861501678,54.63,71.0,43.9,-16.369999999999997
Brock Purdy,QB,SF,73,-6.162606181944852,95.46,121.0,101.62,-25.540000000000006
Christian Watson,WR,GB,74,-6.515959127718872,58.47,113.0,96.94,-54.53
Rome Odunze,WR,CHI,75,-6.644865377718872,60.01,84.0,70.9,-23.990000000000002
Dallas Goedert,TE,PHI,76,-7.394098782318622,123.8,142.0,99.67,-18.200000000000003
Blake Corum,RB,LAR,77,-7.637847158297575,109.43,168.0,136.17,-58.56999999999999
Bhayshul Tuten,RB,JAX,78,-8.763561444011856,73.65,93.0,75.77,-19.349999999999994
Marvin Harrison Jr.,WR,ARI,79,-9.225962938694494,67.54,99.0,84.48,-31.459999999999994
Luther Burden III,WR,CHI,80,-9.313786871621318,45.18,85.0,76.18,-39.82
Isaiah Likely,TE,BAL,81,-9.44655851334214,118.63,163.0,126.82,-44.370000000000005
Harold Fannin Jr.,TE,CLE,82,-9.633542979903652,76.1,106.0,77.52,-29.900000000000006
Jaxson Dart,QB,NYG,83,-11.096621631383073,91.31,111.0,73.04,-19.689999999999998
Trevor Lawrence,QB,JAX,84,-14.267123035877404,77.92,118.0,92.95,-40.08
Jaylen Warren,RB,PIT,85,-15.177856810555426,73.89,134.0,100.41,-60.11
Mark Andrews,TE,BAL,86,-15.505419537035593,132.55,151.0,119.72,-18.44999999999999
Josh Downs,WR,IND,87,-18.09618016430423,95.87,158.0,136.34,-62.129999999999995
Quinshon Judkins,RB,CLE,88,-18.76926807422771,60.69,72.0,52.31,-11.310000000000002
Rhamondre Stevenson,RB,NE,89,-18.80363812699784,83.67,135.0,109.07,-51.33
Michael Pittman Jr.,WR,IND,90,-20.29177848747497,84.78,101.0,89.73,-16.22
Baker Mayfield,QB,TB,91,-20.65220168756281,119.02,204.0,149.48,-84.98
Carnell Tate,WR,TEN,92,-20.66127162771886,66.34,83.0,67.66,-16.659999999999997
Justin Herbert,QB,LAC,93,-21.039010676326825,70.12,131.0,107.41,-60.879999999999995
Jake Ferguson,TE,DAL,94,-21.431834631375224,106.51,144.0,107.63,-37.489999999999995
Sam Darnold,QB,SEA,95,-21.4691230358774,141.69,321.0,163.86,-179.31
Dalton Kincaid,TE,BUF,96,-21.91296670684692,114.46,164.0,135.68,-49.540000000000006
Parker Washington,WR,JAX,97,-23.10585341838473,88.86,112.0,100.55,-23.14
RJ Harvey,RB,DEN,98,-23.32740557990593,88.55,149.0,122.66,-60.45
Patrick Mahomes II,QB,KC,99,-23.994475286785303,100.83,132.0,102.26,-31.17
Brenton Strange,TE,JAX,100,-24.98178074618329,151.95,274.0,166.27,-122.05000000000001
Caleb Williams,QB,CHI,101,-25.143527530259437,68.22,124.0,90.44,-55.78
