player_name,position,team_abbr,ecr_overall_rank,ecr_position_rank,win_total_line
Joey Slye,K,TEN,303.8,32.0,6.5
Michael Mayer,TE,LV,304.04,41.0,6.5
Bam Knight,RB,ARI,304.19,99.0,4.5
Rasheen Ali,RB,BAL,304.25,100.0,11.5
Trevor Etienne,RB,CAR,305.24,101.0,6.5
KaVontae Turpin,WR,DAL,305.42,128.0,9.5
Las Vegas Raiders,DST,LV,305.67,29.0,6.5
Audric Estime,RB,NO,305.98,102.0,7.5
Jalen Royals,WR,KC,306.05,129.0,10.5
Devontez Walker,WR,BAL,307.14,130.0,11.5
Jarquez Hunter,RB,LAR,307.32,103.0,11.5
Sione Vaki,RB,DET,307.67,104.0,10.5
Xavier Restrepo,WR,TEN,308.5,131.0,6.5
Ja'Tavion Sanders,TE,CAR,309.68,42.0,6.5
Treylon Burks,WR,WAS,310.5,132.0,7.5
Van Jefferson,WR,WAS,311.0,133.0,7.5
Tyler Higbee,TE,LAR,311.07,43.0,11.5
Erick All Jr.,TE,CIN,311.08,44.0,10.5
DeMario Douglas,WR,NE,311.17,134.0,9.5
Miami Dolphins,DST,MIA,311.89,30.0,4.5
J.J. McCarthy,QB,MIN,312.1,36.0,8.5
Isaiah Williams,WR,NYJ,312.5,135.0,5.5
Will Shipley,RB,PHI,312.61,105.0,10.5
Elijah Arroyo,TE,SEA,313.23,45.0,10.5
DeAndre Hopkins,WR,BAL,313.67,136.0,11.5
Marquez Valdes-Scantling,WR,DAL,314.0,137.0,9.5
Tyler Lockett,WR,LV,314.0,138.0,6.5
Kalif Raymond,WR,CHI,315.0,139.0,9.5
Jake Bobo,WR,SEA,315.5,140.0,10.5
Kareem Hunt,RB,FA,315.95,106.0,
John Bates,TE,WAS,316.44,46.0,7.5
Zavion Thomas,WR,CHI,316.55,141.0,9.5
Brenen Thompson,WR,LAC,316.91,142.0,10.5
Noah Gray,TE,KC,317.07,47.0,10.5
Dont'e Thornton Jr.,WR,LV,317.3,143.0,6.5
Nick Westbrook-Ikhine,WR,IND,318.07,144.0,8.5
Cole Kmet,TE,CHI,318.54,48.0,9.5
Xavier Hutchinson,WR,HOU,319.61,145.0,9.5
Elijah Moore,WR,PHI,320.33,146.0,10.5
Ashton Dulin,WR,IND,321.4,147.0,8.5
Lil'Jordan Humphrey,WR,DEN,323.0,148.0,9.5
Tutu Atwell,WR,MIA,323.61,149.0,4.5
Kevin Coleman Jr.,WR,MIA,323.8,150.0,4.5
Dawson Knox,TE,BUF,323.96,49.0,10.5
Colbie Young,WR,CIN,324.0,151.0,10.5
Diontae Johnson,WR,FA,325.0,152.0,
J'Mari Taylor,RB,JAC,325.55,107.0,
Hunter Luepke,RB,DAL,325.67,108.0,9.5
Nick Chubb,RB,FA,327.24,109.0,
Raheim Sanders,RB,CLE,327.24,110.0,5.5
Jawhar Jordan,RB,HOU,327.28,111.0,9.5
Tommy Myers,TE,FA,327.86,50.0,
Carson Beck,QB,ARI,328.35,37.0,4.5
Phil Mafah,RB,DAL,328.8,112.0,9.5
John Metchie III,WR,CAR,330.16,153.0,6.5
Dyami Brown,WR,WAS,330.33,154.0,7.5
Taysom Hill,TE,FA,332.5,51.0,
Mac Jones,QB,SF,333.17,38.0,10.5
Greg Dortch,WR,DET,333.43,155.0,10.5
Cyrus Allen,WR,KC,333.8,156.0,10.5
Jaylin Lane,WR,WAS,334.38,157.0,7.5
Jonnu Smith,TE,FA,334.5,52.0,
Michael Carter,RB,TEN,335.0,113.0,6.5
Joe Milton III,QB,DAL,335.0,39.0,9.5
Mitch Tinsley,WR,CIN,335.0,158.0,10.5
Jahdae Walker,WR,CHI,335.75,159.0,9.5
Anthony Richardson Sr.,QB,IND,336.79,40.0,8.5
Ty Simpson,QB,LAR,336.81,41.0,11.5
Justin Joly,TE,DEN,336.84,53.0,9.5
Zavier Scott,RB,MIN,337.33,114.0,8.5
Savion Williams,WR,GB,337.58,160.0,10.5
Justin Fields,QB,KC,337.66,42.0,10.5
Cash Jones,RB,ATL,338.0,115.0,7.5
Dylan Laube,RB,LV,338.4,116.0,6.5
Xavier Smith,WR,LAR,339.0,161.0,11.5
Dameon Pierce,RB,PHI,339.2,117.0,10.5
Drew Sample,TE,CIN,339.75,54.0,10.5
Noah Fant,TE,NO,340.65,55.0,7.5
Tommy Tremble,TE,CAR,341.17,56.0,6.5
Eli Raridon,TE,NE,341.72,57.0,9.5
Drew Allar,QB,PIT,342.5,43.0,8.5
Michael Woods II,WR,DEN,342.5,162.0,9.5
Darren Waller,TE,FA,343.86,58.0,
Antonio Gibson,RB,FA,345.2,118.0,
Durham Smythe,TE,BAL,345.5,59.0,11.5
Theo Wease Jr.,WR,MIA,345.67,163.0,4.5
Terrell Jennings,RB,NE,346.0,119.0,9.5
Jacob Saylors,RB,DET,346.0,120.0,10.5
Scotty Miller,WR,CHI,346.5,164.0,9.5
Austin Ekeler,RB,FA,347.0,121.0,
Ronnie Rivers,RB,LAR,347.0,122.0,11.5
Jordan Whittington,WR,LAR,347.45,165.0,11.5
Riley Leonard,QB,IND,348.33,44.0,8.5
Elijah Mitchell,RB,PHI,348.5,123.0,10.5
Marcus Mariota,QB,WAS,349.71,45.0,7.5
Jam Miller,RB,NE,349.86,124.0,9.5
Gardner Minshew II,QB,ARI,351.0,46.0,4.5
Josh Oliver,TE,MIN,351.4,60.0,8.5
Will Dissly,TE,FA,352.0,61.0,
Austin Hooper,TE,ATL,352.71,62.0,7.5
CJ Daniels,WR,LAR,352.75,166.0,11.5
Derius Davis,WR,LAC,353.0,167.0,10.5
Roschon Johnson,RB,CHI,354.0,125.0,9.5
Zach Ertz,TE,FA,354.6,63.0,
Roman Wilson,WR,PIT,356.25,168.0,8.5
Deion Burks,WR,IND,357.0,169.0,8.5
Cade Klubnik,QB,NYJ,357.0,47.0,5.5
New York Jets,DST,NYJ,357.0,31.0,5.5
Jermaine Burton,WR,FA,357.0,170.0,
Daniel Bellinger,TE,TEN,357.33,64.0,6.5
Elijah Tau-Tolliver,RB,BAL,357.5,126.0,11.5
Charlie Kolar,TE,LAC,357.6,65.0,10.5
Luke Musgrave,TE,GB,357.69,66.0,10.5
Jameis Winston,QB,NYG,358.09,48.0,7.5
Reggie Virgil,WR,ARI,358.33,171.0,4.5
Damien Martinez,RB,GB,359.0,127.0,10.5
Tai Felton,WR,MIN,359.33,172.0,8.5
Joe Flacco,QB,CIN,360.33,49.0,10.5
Michael Trigg,TE,DAL,360.33,67.0,9.5
Adam Trautman,TE,DEN,360.33,68.0,9.5
Ben Sinnott,TE,WAS,360.73,69.0,7.5
Frank Gore Jr.,RB,BUF,361.33,128.0,10.5
Sam Roush,TE,CHI,361.33,70.0,9.5
Jaret Patterson,RB,LAC,361.5,129.0,10.5
Mecole Hardman Jr.,WR,BUF,361.5,173.0,10.5
Nate Boerkircher,TE,JAC,361.8,71.0,
Marlin Klein,TE,HOU,362.0,72.0,9.5
Malik Benson,WR,LV,363.33,174.0,6.5
Cade Stover,TE,HOU,364.0,73.0,9.5
Quinn Ewers,QB,MIA,365.0,50.0,4.5
Luke Schoonmaker,TE,DAL,365.2,74.0,9.5
Demarcus Robinson,WR,SF,365.33,175.0,10.5
Jaydn Ott,RB,KC,365.67,130.0,10.5
Donovan Edwards,RB,MIA,367.5,131.0,4.5
Elijah Higgins,TE,ARI,369.75,75.0,4.5
Mo Alie-Cox,TE,IND,370.5,76.0,8.5
Tyler Badie,RB,DEN,372.5,132.0,9.5
Myles Montgomery,RB,NE,373.33,133.0,9.5
Anthony Gould,WR,IND,374.5,176.0,8.5
Robert Henry Jr.,RB,WAS,375.75,134.0,7.5
Gabe Davis,WR,FA,376.5,177.0,
Skyy Moore,WR,GB,377.5,178.0,10.5
Mitchell Evans,TE,CAR,378.5,77.0,6.5
Tyler Conklin,TE,DET,378.5,78.0,10.5
Jared Wiley,TE,KC,381.0,79.0,10.5
Josh Cameron,WR,JAC,385.5,179.0,
Miles Sanders,RB,FA,386.0,135.0,
Jason Sanders,K,NYJ,391.5,33.0,5.5
