player_name,position,team,pass_yards_line,rush_yards_line,rec_yards_line,pass_tds_line,rush_tds_line,rec_tds_line,receptions_line,headshot_url
Jack Fox,P,DET,0.5,,,,,,,https://images.fantasypros.com/images/players/nfl/18823/headshot/210x210.webp
Jacoby Brissett,QB,ARI,2750.5,,,13.5,,,,https://images.fantasypros.com/images/players/nfl/15642/headshot/210x210.webp
Jacory Croskey-Merritt,RB,WAS,,550.5,,,,,,https://images.fantasypros.com/images/players/nfl/27316/headshot/210x210.webp
Jadarian Price,RB,SEA,,750.5,,,6.0,,,https://images.fantasypros.com/images/players/nfl/27329/headshot/210x210.webp
Jahmyr Gibbs,RB,DET,,1360.0,458.5,,12.5,3.5,60.5,https://images.fantasypros.com/images/players/nfl/22968/headshot/210x210.webp
Jake Ferguson,TE,DAL,,,508.5,,,4.5,66.5,https://images.fantasypros.com/images/players/nfl/22718/headshot/210x210.webp
Jakobi Meyers,WR,JAC,,,708.5,,,5.5,60.5,https://images.fantasypros.com/images/players/nfl/18598/headshot/210x210.webp
Jalen Coker,WR,CAR,,,625.5,,,,,https://images.fantasypros.com/images/players/nfl/26403/headshot/210x210.webp
Jalen Hurts,QB,PHI,3675.0,400.5,,22.5,8.5,,,https://images.fantasypros.com/images/players/nfl/19275/headshot/210x210.webp
James Cook III,RB,BUF,,1250.5,250.5,,10.5,1.5,30.5,https://images.fantasypros.com/images/players/nfl/22958/headshot/210x210.webp
Jameson Williams,WR,DET,,34.5,900.0,,0.5,5.5,56.5,https://images.fantasypros.com/images/players/nfl/23677/headshot/210x210.webp
Jared Goff,QB,DET,4050.5,,,29.5,0.5,,,https://images.fantasypros.com/images/players/nfl/15501/headshot/210x210.webp
Javonte Williams,RB,DAL,,950.5,224.5,,9.5,0.5,,https://images.fantasypros.com/images/players/nfl/22739/headshot/210x210.webp
Jaxon Smith-Njigba,WR,SEA,,,1325.5,,,8.5,100.0,https://images.fantasypros.com/images/players/nfl/23070/headshot/210x210.webp
Jaxson Dart,QB,NYG,3150.5,450.5,,19.5,5.5,,,https://images.fantasypros.com/images/players/nfl/23160/headshot/210x210.webp
Jayden Daniels,QB,WAS,3350.5,558.5,,21.5,4.5,,,https://images.fantasypros.com/images/players/nfl/22902/headshot/210x210.webp
Jayden Higgins,WR,HOU,,,575.5,,,,46.5,https://images.fantasypros.com/images/players/nfl/27077/headshot/210x210.webp
Jayden Reed,WR,GB,,,650.5,,,,,https://images.fantasypros.com/images/players/nfl/23020/headshot/210x210.webp
Jaylen Waddle,WR,DEN,,,875.5,,,5.5,68.5,https://images.fantasypros.com/images/players/nfl/19790/headshot/210x210.webp
Jaylen Warren,RB,PIT,,600.5,,,,,,https://images.fantasypros.com/images/players/nfl/24209/headshot/210x210.webp
Jeremiyah Love,RB,ARI,,900.5,,,5.5,,,https://images.fantasypros.com/images/players/nfl/25403/headshot/210x210.webp
Jerry Jeudy,WR,CLE,,,600.5,,,3.5,49.5,https://images.fantasypros.com/images/players/nfl/19201/headshot/210x210.webp
Joe Burrow,QB,CIN,4265.0,,,32.5,,,,https://images.fantasypros.com/images/players/nfl/19196/headshot/210x210.webp
Jonathan Taylor,RB,IND,,1250.5,,,11.5,1.5,,https://images.fantasypros.com/images/players/nfl/19217/headshot/210x210.webp
Jordan Addison,WR,MIN,,,650.5,,,4.5,49.5,https://images.fantasypros.com/images/players/nfl/23107/headshot/210x210.webp
Jordan Love,QB,GB,3500.5,174.5,,24.5,1.5,,,https://images.fantasypros.com/images/players/nfl/19246/headshot/210x210.webp
Jordan Mason,RB,MIN,,650.5,,,4.5,,,https://images.fantasypros.com/images/players/nfl/22969/headshot/210x210.webp
Jordyn Tyson,WR,NO,,,775.5,,,4.5,58.5,https://images.fantasypros.com/images/players/nfl/26035/headshot/210x210.webp
Josh Allen,QB,BUF,3600.5,500.5,,24.5,11.5,,,https://images.fantasypros.com/images/players/nfl/17298/headshot/210x210.webp
Josh Downs,WR,IND,,,800.0,,,,67.5,https://images.fantasypros.com/images/players/nfl/24706/headshot/210x210.webp
Josh Jacobs,RB,GB,,975.5,274.5,,11.5,0.5,,https://images.fantasypros.com/images/players/nfl/18269/headshot/210x210.webp
Justin Herbert,QB,LAC,4000.0,300.5,,24.5,2.5,,,https://images.fantasypros.com/images/players/nfl/18635/headshot/210x210.webp
Justin Jefferson,WR,MIN,,,1150.5,,,7.5,91.5,https://images.fantasypros.com/images/players/nfl/19236/headshot/210x210.webp
Juwan Johnson,TE,NO,,,550.5,,,,50.5,https://images.fantasypros.com/images/players/nfl/19562/headshot/210x210.webp
KC Concepcion,WR,CLE,,,600.5,,,3.5,,https://images.fantasypros.com/images/players/nfl/27331/headshot/210x210.webp
Kenneth Walker III,RB,KC,,925.5,299.5,,7.5,0.5,30.5,https://images.fantasypros.com/images/players/nfl/23021/headshot/210x210.webp
Kenyon Sadiq,TE,NYJ,,,475.5,,,3.5,,https://images.fantasypros.com/images/players/nfl/26055/headshot/210x210.webp
Khalil Shakir,WR,BUF,,,650.5,,,,62.5,https://images.fantasypros.com/images/players/nfl/23748/headshot/210x210.webp
Kyle Monangai,RB,CHI,,650.5,,,4.5,,,https://images.fantasypros.com/images/players/nfl/27131/headshot/210x210.webp
Kyle Pitts Sr.,TE,ATL,,,775.5,,,4.5,69.5,https://images.fantasypros.com/images/players/nfl/20164/headshot/210x210.webp
Kyler Murray,QB,MIN,3000.5,375.5,,17.5,,,,https://images.fantasypros.com/images/players/nfl/18600/headshot/210x210.webp
Kyren Williams,RB,LAR,,975.5,,,9.5,,,https://images.fantasypros.com/images/players/nfl/23059/headshot/210x210.webp
Ladd McConkey,WR,LAC,,,881.5,,,5.5,70.5,https://images.fantasypros.com/images/players/nfl/26122/headshot/210x210.webp
Lamar Jackson,QB,BAL,3225.5,575.5,,24.5,3.5,,,https://images.fantasypros.com/images/players/nfl/17233/headshot/210x210.webp
Luther Burden III,WR,CHI,,,850.5,,,4.5,,https://images.fantasypros.com/images/players/nfl/27016/headshot/210x210.webp
Makai Lemon,WR,PHI,,,650.5,,,4.5,,https://images.fantasypros.com/images/players/nfl/25420/headshot/210x210.webp
Malik Nabers,WR,NYG,,,1004.5,,,6.5,,https://images.fantasypros.com/images/players/nfl/25409/headshot/210x210.webp
Malik Willis,QB,MIA,3465.0,,,14.5,,,,https://images.fantasypros.com/images/players/nfl/23499/headshot/210x210.webp
Mark Andrews,TE,BAL,,,500.5,,0.5,5.5,43.5,https://images.fantasypros.com/images/players/nfl/17269/headshot/210x210.webp
Marvin Harrison Jr.,WR,ARI,,,825.5,,,5.5,57.5,https://images.fantasypros.com/images/players/nfl/23064/headshot/210x210.webp
Matthew Golden,WR,GB,,,650.5,,,,,https://images.fantasypros.com/images/players/nfl/26024/headshot/210x210.webp
