our_rank,player_name,position,team_abbr,vor,projected_ppr_points,games_missed,team_env_adj,projection_source,ecr_overall_rank,ecr_position_rank,value_vs_adp,team_win_total,replacement_points_at_position,proj_pass_yards,proj_pass_tds,proj_rush_yards,proj_rush_tds,proj_rec_yards,proj_rec_tds,proj_receptions
104,Sam Darnold,QB,SEA,-27.427990327291646,260.3629213483146,0.0,6.79089375,vegas_prop,141.69,23.0,37.69,10.5,294.58180542560626,4065.0,23.5,163.6923076923077,1.7051282051282053,,,
105,Quentin Johnston,WR,LAC,-28.159302877718865,121.9,0.0,1.9683750000000002,vegas_prop,102.81,46.0,-2.1899999999999977,10.5,152.02767787771887,,,,,641.5,5.5,49.5
106,Juwan Johnson,TE,NO,-28.500712100635898,102.76938775510203,0.0,-0.73508625,vegas_prop,148.07,16.0,42.06999999999999,7.5,130.53501360573793,,,,,550.5,3.7448979591836733,50.5
107,Brian Thomas Jr.,WR,JAX,-28.94530287771887,122.2,0.0,0.882375,vegas_prop,79.4,35.0,-27.599999999999994,9.5,152.02767787771887,,,,,699.5,4.5,50.5
108,Dalton Kincaid,TE,BUF,-29.66303985573793,99.75,0.0,1.1219737500000002,vegas_prop,114.46,12.0,6.459999999999994,10.5,130.53501360573793,,,,,545.0,3.5,48.5
109,Khalil Shakir,WR,BUF,-29.960522389913997,120.09878048780487,0.0,1.9683750000000002,vegas_prop,118.3,49.0,9.299999999999997,10.5,152.02767787771887,,,,,650.5,3.966463414634146,62.5
110,Hunter Henry,TE,NE,-30.732059855737937,99.3,0.0,0.5029537500000001,vegas_prop,162.95,19.0,52.94999999999999,9.5,130.53501360573793,,,,,500.5,4.5,44.5
111,Baker Mayfield,QB,TB,-31.260940889089397,264.02337078651686,0.0,-0.70250625,vegas_prop,119.02,19.0,8.019999999999996,8.5,294.58180542560626,3550.5,25.5,309.5,1.5,,,
112,Wan'Dale Robinson,WR,TEN,-31.361972847231073,123.0413300304878,0.0,-2.375625,vegas_prop,88.36,39.0,-23.64,6.5,152.02767787771887,,,,,700.5,4.271341463414634,54.7265625
113,Isiah Pacheco,RB,DET,-32.018003408297574,115.95,0.0,2.4604687500000004,vegas_prop,147.52,49.0,34.52000000000001,10.5,150.42847215829758,,,499.5,4.5,192.5,1.0,27.5
114,Kenny Gainwell,RB,TB,-32.20274187054537,118.48026153775221,0.0,-0.25453125,ecr_calibrated,101.78,34.0,-12.219999999999999,8.5,150.42847215829758,,,,,,,
115,Makai Lemon,WR,PHI,-32.59914662771887,117.46015625,0.0,1.9683750000000002,vegas_prop,98.76,44.0,-16.239999999999995,10.5,152.02767787771887,,,,,650.5,4.5,50.8203125
116,Romeo Doubs,WR,NE,-32.74530287771886,118.4,0.0,0.882375,vegas_prop,131.65,52.0,15.650000000000006,9.5,152.02767787771887,,,,,631.5,4.5,56.5
117,Aaron Jones Sr.,RB,MIN,-33.04014626544044,117.64285714285714,0.0,-0.25453125,vegas_prop,109.31,37.0,-7.689999999999998,8.5,150.42847215829758,,,550.5,3.932142857142857,192.5,1.0,27.5
118,Michael Wilson,WR,ARI,-33.28383946308472,123.29146341463415,0.0,-4.547625,vegas_prop,89.89,41.0,-28.11,4.5,152.02767787771887,,,,,699.5,4.265243902439025,55.5
119,Xavier Worthy,WR,KC,-33.850709127718865,116.20859375,0.0,1.9683750000000002,vegas_prop,122.25,50.0,3.25,10.5,152.02767787771887,,,,,641.5,4.5,50.1171875
120,T.J. Hockenson,TE,MIN,-33.922508427166505,96.72857142857143,0.0,-0.11606625000000001,vegas_prop,189.75,22.0,69.75,8.5,130.53501360573793,,,,,500.5,3.4047619047619047,52.5
121,Dalton Schultz,TE,HOU,-34.3034884271665,95.72857142857143,0.0,0.5029537500000001,vegas_prop,178.84,21.0,57.84,9.5,130.53501360573793,,,,,500.5,3.4047619047619047,50.5
122,Jacory Croskey-Merritt,RB,WAS,-34.39764626544044,117.64285714285714,0.0,-1.61203125,vegas_prop,124.89,40.0,2.8900000000000006,7.5,150.42847215829758,,,550.5,3.932142857142857,192.5,1.0,27.5
123,Jaxson Dart,QB,NYG,-34.660449877853495,264.37056179775277,0.0,-4.4492062500000005,vegas_prop,91.31,11.0,-31.689999999999998,7.5,294.58180542560626,3150.5,19.5,450.5,5.5,,,
124,Jordan Addison,WR,MIN,-35.43130287771888,116.8,0.0,-0.203625,vegas_prop,106.81,47.0,-17.189999999999998,8.5,152.02767787771887,,,,,650.5,4.5,49.5
125,C.J. Stroud,QB,HOU,-35.74716223740405,255.79044943820222,0.0,3.04419375,vegas_prop,139.76,22.0,14.759999999999991,9.5,294.58180542560626,3980.0,22.5,199.5,1.5,,,
